Time	Amplitude GEN	Incertezza
0.772	-1.26652	0.0043
0.776	-1.4921	0.0043
0.78	-1.71092	0.0043
0.784	-1.92426	0.0043
0.788	-2.13759	0.0043
0.792	-2.3432	0.0043
0.796	-2.54623	0.0043
0.8	-2.73926	0.0043
0.804	-2.92714	0.0043
0.808	-3.1118	0.0043
0.812	-3.27905	0.0043
0.816	-3.44921	0.0043
0.82	-3.60229	0.0043
0.824	-3.75214	0.0043
0.828	-3.88814	0.0043
0.832	-4.01769	0.0043
0.836	-4.13531	0.0043
0.84	-4.24456	0.0043
0.844	-4.33899	0.0043
0.848	-4.43115	0.0043
0.852	-4.50173	0.0043
0.856	-4.56812	0.0043
0.86	-4.6142	0.0043
0.864	-4.65964	0.0043
0.868	-4.68671	0.0043
0.872	-4.70605	0.0043
0.876	-4.70218	0.0043
0.88	-4.69509	0.0043
0.884	-4.6764	0.0043
0.888	-4.64933	0.0043
0.892	-4.60324	0.0043
0.896	-4.54781	0.0043
0.9	-4.48207	0.0043
0.904	-4.4015	0.0043
0.908	-4.31739	0.0043
0.912	-4.21427	0.0043
0.916	-4.10728	0.0043
0.92	-3.98514	0.0043
0.924	-3.85462	0.0043
0.928	-3.71379	0.0043
0.932	-3.55878	0.0043
0.936	-3.40506	0.0043
0.94	-3.2378	0.0043
0.944	-3.06024	0.0043
0.948	-2.8759	0.0043
0.952	-2.69092	0.0043
0.956	-2.4908	0.0043
0.96	-2.28745	0.0043
0.964	-2.07669	0.0043
0.968	-1.86399	0.0043
0.972	-1.64066	0.0043
0.976	-1.42024	0.0043
0.98	-1.19304	0.0043
0.984	-0.960365	0.0043
0.988	-0.732524	0.0043
0.992	-0.505328	0.0043
0.996	-0.267819	0.0043
1	-0.0338555	0.0043
1.004	0.201075	0.0043
1.008	0.435039	0.0043
1.012	0.670293	0.0043
1.016	0.90039	0.0043
1.02	1.13049	0.0043
1.024	1.35317	0.0043
1.028	1.57618	0.0043
1.032	1.79532	0.0043
1.036	2.01124	0.0043
1.04	2.21846	0.0043
1.044	2.41891	0.0043
1.048	2.61936	0.0043
1.052	2.80692	0.0043
1.056	2.99448	0.0043
1.06	3.16947	0.0043
1.064	3.3393	0.0043
1.068	3.50044	0.0043
1.072	3.64901	0.0043
1.076	3.79242	0.0043
1.08	3.92584	0.0043
1.084	4.04927	0.0043
1.088	4.1627	0.0043
1.092	4.26486	0.0043
1.096	4.35542	0.0043
1.1	4.43438	0.0043
1.104	4.50496	0.0043
1.108	4.5591	0.0043
1.112	4.60196	0.0043
1.116	4.63934	0.0043
1.12	4.659	0.0043
1.124	4.67189	0.0043
1.128	4.66899	0.0043
1.132	4.65771	0.0043
1.136	4.63032	0.0043
1.14	4.59165	0.0043
1.144	4.54621	0.0043
1.148	4.4853	0.0043
1.152	4.41343	0.0043
1.156	4.3261	0.0043
1.16	4.23232	0.0043
1.164	4.1279	0.0043
1.168	4.01285	0.0043
1.172	3.88491	0.0043
1.176	3.75181	0.0043
1.18	3.6084	0.0043
1.184	3.45242	0.0043
1.188	3.29064	0.0043
1.192	3.12113	0.0043
1.196	2.94291	0.0043
1.2	2.75729	0.0043
1.204	2.55813	0.0043
1.208	2.35832	0.0043
1.212	2.15433	0.0043
1.216	1.9455	0.0043
1.22	1.72668	0.0043
1.224	1.50786	0.0043
1.228	1.28034	0.0043
1.232	1.05443	0.0043
1.236	0.824335	0.0043
1.24	0.591982	0.0043
1.244	0.365108	0.0043
1.248	0.131144	0.0043
1.252	-0.106043	0.0043
1.256	-0.340973	0.0043
1.26	-0.579449	0.0043
1.264	-0.811157	0.0043
1.268	-1.0361	0.0043
1.272	-1.26619	0.0043
1.276	-1.48823	0.0043
1.28	-1.70931	0.0043
1.284	-1.92458	0.0043
1.288	-2.13856	0.0043
1.292	-2.34417	0.0043
1.296	-2.54397	0.0043
1.3	-2.73765	0.0043
1.304	-2.92746	0.0043
1.308	-3.11115	0.0043
1.312	-3.28228	0.0043
1.316	-3.44857	0.0043
1.32	-3.60068	0.0043
1.324	-3.75311	0.0043
1.328	-3.88652	0.0043
1.332	-4.01672	0.0043
1.336	-4.13338	0.0043
1.34	-4.24166	0.0043
1.344	-4.33608	0.0043
1.348	-4.42793	0.0043
1.352	-4.50237	0.0043
1.356	-4.56747	0.0043
1.36	-4.6113	0.0043
1.364	-4.66125	0.0043
1.368	-4.68735	0.0043
1.372	-4.70572	0.0043
1.376	-4.7025	0.0043
1.38	-4.69606	0.0043
1.384	-4.6764	0.0043
1.388	-4.64739	0.0043
1.392	-4.60228	0.0043
1.396	-4.54524	0.0043
1.4	-4.48078	0.0043
1.404	-4.40215	0.0043
1.408	-4.31772	0.0043
1.412	-4.21749	0.0043
1.416	-4.10792	0.0043
1.42	-3.98449	0.0043
1.424	-3.85559	0.0043
1.428	-3.7154	0.0043
1.432	-3.56265	0.0043
1.436	-3.40603	0.0043
1.44	-3.23813	0.0043
1.444	-3.05991	0.0043
1.448	-2.87687	0.0043
1.452	-2.69092	0.0043
1.456	-2.4879	0.0043
1.46	-2.2897	0.0043
1.464	-2.07733	0.0043
1.468	-1.86431	0.0043
