Time	Amplitude - V_R	Incertezza
0.764	-1.78472	0.0043
0.768	-1.81017	0.0043
0.772	-1.8308	0.0043
0.776	-1.84562	0.0043
0.78	-1.85626	0.0043
0.784	-1.86238	0.0043
0.788	-1.86367	0.0043
0.792	-1.86013	0.0043
0.796	-1.8511	0.0043
0.8	-1.83596	0.0043
0.804	-1.81662	0.0043
0.808	-1.79181	0.0043
0.812	-1.76087	0.0043
0.816	-1.72671	0.0043
0.82	-1.68739	0.0043
0.824	-1.64324	0.0043
0.828	-1.5949	0.0043
0.832	-1.5427	0.0043
0.836	-1.4863	0.0043
0.84	-1.42604	0.0043
0.844	-1.36223	0.0043
0.848	-1.29584	0.0043
0.852	-1.22559	0.0043
0.856	-1.15276	0.0043
0.86	-1.07767	0.0043
0.864	-0.999359	0.0043
0.868	-0.920404	0.0043
0.872	-0.836615	0.0043
0.876	-0.753471	0.0043
0.88	-0.667749	0.0043
0.884	-0.58106	0.0043
0.888	-0.492115	0.0043
0.892	-0.402204	0.0043
0.896	-0.311325	0.0043
0.9	-0.220769	0.0043
0.904	-0.129246	0.0043
0.908	-0.0374004	0.0043
0.912	0.0544449	0.0043
0.916	0.145323	0.0043
0.92	0.237813	0.0043
0.924	0.327725	0.0043
0.928	0.417315	0.0043
0.932	0.506582	0.0043
0.936	0.593916	0.0043
0.94	0.678671	0.0043
0.944	0.763427	0.0043
0.948	0.845282	0.0043
0.952	0.925204	0.0043
0.956	1.00255	0.0043
0.96	1.07828	0.0043
0.964	1.15079	0.0043
0.968	1.2204	0.0043
0.972	1.28743	0.0043
0.976	1.35285	0.0043
0.98	1.41279	0.0043
0.984	1.4708	0.0043
0.988	1.52494	0.0043
0.992	1.57554	0.0043
0.996	1.62194	0.0043
1	1.66545	0.0043
1.004	1.70348	0.0043
1.008	1.73796	0.0043
1.012	1.76922	0.0043
1.016	1.79532	0.0043
1.02	1.81627	0.0043
1.024	1.83335	0.0043
1.028	1.84688	0.0043
1.032	1.85462	0.0043
1.036	1.85752	0.0043
1.04	1.85591	0.0043
1.044	1.8485	0.0043
1.048	1.83657	0.0043
1.052	1.81949	0.0043
1.056	1.79693	0.0043
1.06	1.76922	0.0043
1.064	1.73699	0.0043
1.068	1.69896	0.0043
1.072	1.65804	0.0043
1.076	1.61195	0.0043
1.08	1.56265	0.0043
1.084	1.50818	0.0043
1.088	1.45017	0.0043
1.092	1.38862	0.0043
1.096	1.32385	0.0043
1.1	1.2552	0.0043
1.104	1.18559	0.0043
1.108	1.1118	0.0043
1.112	1.03606	0.0043
1.116	0.957753	0.0043
1.12	0.878153	0.0043
1.124	0.795331	0.0043
1.128	0.710898	0.0043
1.132	0.625175	0.0043
1.136	0.538486	0.0043
1.14	0.450186	0.0043
1.144	0.360596	0.0043
1.148	0.270362	0.0043
1.152	0.179806	0.0043
1.156	0.0882826	0.0043
1.16	-0.00324043	0.0043
1.164	-0.094119	0.0043
1.168	-0.184675	0.0043
1.172	-0.276198	0.0043
1.176	-0.365465	0.0043
1.18	-0.45441	0.0043
1.184	-0.542711	0.0043
1.188	-0.628433	0.0043
1.192	-0.713511	0.0043
1.196	-0.796977	0.0043
1.2	-0.877543	0.0043
1.204	-0.956498	0.0043
1.208	-1.03416	0.0043
1.212	-1.10796	0.0043
1.216	-1.1795	0.0043
1.22	-1.24879	0.0043
1.224	-1.31518	0.0043
1.228	-1.37802	0.0043
1.232	-1.43764	0.0043
1.236	-1.49468	0.0043
1.24	-1.54721	0.0043
1.244	-1.59684	0.0043
1.248	-1.64228	0.0043
